epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,261.232,0.83999,6.24036,0.01179,0.57036,0.19136,0.18874,0.15269,0.75147,2.1633,0.01284,0.00997908,0.00332636,0.00997908,0.00332636,0.00997908,0.00332636,0.00997908,0.00332636
2,194.474,0.89059,4.49931,0.0125,0.44804,0.36272,0.33998,0.26434,0.81725,1.73141,0.01414,0.0197813,0.00659376,0.0197813,0.00659376,0.0197813,0.00659376,0.0197813,0.00659376
3,355.655,0.99124,3.37791,0.01434,0.44322,0.48527,0.4009,0.30504,0.94043,1.6248,0.01856,0.0293855,0.00979516,0.0293855,0.00979516,0.0293855,0.00979516,0.0293855,0.00979516
4,509.717,1.03366,2.36083,0.01527,0.4719,0.44444,0.44364,0.3416,0.92252,1.40357,0.0192,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,652.204,1.03077,1.90898,0.01494,0.46436,0.52215,0.43748,0.33372,0.87557,1.37384,0.01686,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,793.233,1.00307,1.68053,0.01446,0.48775,0.62161,0.5451,0.4204,0.87894,1.11244,0.01585,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,935.866,0.98244,1.57959,0.01403,0.5525,0.54486,0.53346,0.42037,0.84138,1.15706,0.01528,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1089.79,0.95766,1.49174,0.01352,0.52677,0.60184,0.56209,0.4394,0.85732,1.12657,0.01595,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1239.49,0.9535,1.43328,0.01348,0.46322,0.48308,0.4518,0.30566,1.31377,1.84691,0.03312,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1385.76,0.93231,1.3555,0.01315,0.49305,0.55279,0.52706,0.41189,0.89303,1.32514,0.01737,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1532.02,0.93152,1.31988,0.01306,0.52905,0.64152,0.57597,0.45887,0.80586,1.00038,0.01415,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1689.05,0.9332,1.2926,0.0131,0.57263,0.64742,0.64373,0.51423,0.80374,0.90144,0.01477,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1845.82,0.92176,1.2783,0.01279,0.59019,0.67439,0.65125,0.53217,0.76854,0.81875,0.01328,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2000.4,0.9057,1.23541,0.01245,0.58884,0.66928,0.6401,0.51966,0.7688,0.85066,0.01374,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2156.81,0.89102,1.22238,0.01238,0.60629,0.64435,0.64239,0.53446,0.71827,0.82629,0.01204,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2298.6,0.90151,1.18633,0.0124,0.6063,0.64993,0.65001,0.53527,0.73985,0.80482,0.01287,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2436.85,0.88436,1.15966,0.01213,0.51779,0.75973,0.67176,0.55612,0.7205,0.80138,0.0119,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2576.19,0.88147,1.14106,0.01219,0.55935,0.65557,0.64291,0.52938,0.75365,0.81581,0.01286,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2723.27,0.87001,1.11101,0.01193,0.58539,0.66669,0.66976,0.5556,0.75077,0.79912,0.0129,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2871.68,0.85915,1.11421,0.01184,0.55975,0.71625,0.64274,0.53305,0.74356,0.83893,0.0128,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3034.81,0.87399,1.0796,0.01186,0.53979,0.76822,0.68464,0.56543,0.73239,0.78482,0.01228,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3199.26,0.8539,1.05562,0.01166,0.58838,0.6751,0.6539,0.53879,0.72893,0.8047,0.01204,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3337.78,0.85318,1.04381,0.01164,0.65689,0.69732,0.69939,0.58285,0.71327,0.72777,0.01193,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3477.09,0.84894,1.02475,0.01153,0.64737,0.68093,0.68655,0.57026,0.71738,0.75655,0.012,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3616.09,0.84622,1.00722,0.01141,0.54931,0.75754,0.68801,0.57106,0.70596,0.8085,0.0116,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3753.36,0.83258,0.9703,0.01129,0.61318,0.68293,0.6694,0.55048,0.70402,0.82769,0.01154,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3890.59,0.83433,0.98357,0.01113,0.57024,0.75332,0.70447,0.58833,0.71673,0.75044,0.01174,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4029.03,0.81485,0.96173,0.01094,0.60029,0.76819,0.69707,0.57957,0.70004,0.7456,0.01145,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,170.84,0.79192,0.93068,0.01057,0.67532,0.65872,0.71345,0.60103,0.67867,0.73413,0.0107,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,302.555,0.79121,0.91859,0.01053,0.66168,0.66716,0.69655,0.59302,0.66328,0.72451,0.01048,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,434.438,0.79132,0.90982,0.01062,0.60146,0.75231,0.70398,0.59454,0.66455,0.7293,0.01068,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,571.306,0.79019,0.91261,0.01042,0.59963,0.75481,0.70489,0.59917,0.67555,0.73735,0.01066,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,703.846,0.78451,0.88951,0.01053,0.65908,0.71415,0.72107,0.60923,0.66466,0.73324,0.01066,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,835.479,0.78086,0.88426,0.01045,0.6297,0.71474,0.72778,0.61697,0.68159,0.7538,0.01086,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,966.347,0.77648,0.85162,0.01036,0.61531,0.7102,0.71819,0.6084,0.66809,0.72761,0.01077,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1097.69,0.77833,0.85591,0.01032,0.65122,0.71453,0.72685,0.61187,0.67868,0.78179,0.01066,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
